# Counts, UncCounts
1.314100000000000000e+04; 1.146342008302932243e+02
1.313800000000000000e+04; 1.146211149832350884e+02
1.351900000000000000e+04; 1.162712346197459112e+02
1.341600000000000000e+04; 1.158274578845620653e+02
1.357500000000000000e+04; 1.165118019773104407e+02
1.337400000000000000e+04; 1.156460116043783017e+02
1.340700000000000000e+04; 1.157886004751763096e+02
1.340400000000000000e+04; 1.157756451072504262e+02
1.361200000000000000e+04; 1.166704761282819192e+02
1.373800000000000000e+04; 1.172092146548213947e+02
1.355000000000000000e+04; 1.164044672682281600e+02
1.365800000000000000e+04; 1.168674462799628344e+02
1.375100000000000000e+04; 1.172646579323881326e+02
1.370900000000000000e+04; 1.170854388897270155e+02
1.395000000000000000e+04; 1.181101181101771687e+02
1.378300000000000000e+04; 1.174010221420580251e+02
1.413100000000000000e+04; 1.188738827497444817e+02
1.396900000000000000e+04; 1.181905241548576981e+02
1.391000000000000000e+04; 1.179406630471441702e+02
1.389100000000000000e+04; 1.178600865433247549e+02
1.409100000000000000e+04; 1.187055179846328770e+02
1.408100000000000000e+04; 1.186633894678556658e+02
1.434200000000000000e+04; 1.197580894971191441e+02
1.420000000000000000e+04; 1.191637528781298556e+02
1.416200000000000000e+04; 1.190042016064979151e+02
1.432800000000000000e+04; 1.196996240595600227e+02
1.443600000000000000e+04; 1.201499063670047178e+02
1.462900000000000000e+04; 1.209504030584437544e+02
1.445200000000000000e+04; 1.202164714171897515e+02
1.475200000000000000e+04; 1.214578116055118073e+02
