# Oscilloscope file ./20191024_902841.bin
# Channel 1
Time / s;Voltage / V
0;0.16
0.1;0.08
0.2;0.16
0.3;0.16
0.4;0.16
0.5;0.08
0.6;0.08
0.7;0.16
0.8;0.08
0.9;0.08
1;0.08
1.1;0.08
1.2;0.08
1.3;0.08
1.4;0.08
1.5;0.08
1.6;0.16
1.7;0.08
1.8;0.08
1.9;0.08
2;0.08
2.1;0.16
2.2;0.08
2.3;0.08
2.4;0.16
2.5;0.16
2.6;0.16
2.7;0.16
2.8;0.16
2.9;0.16
3;0.24
3.1;0.16
3.2;0.24
3.3;0.24
3.4;0.32
3.5;0.32
3.6;0.32
3.7;0.32
3.8;0.32
3.9;0.32
4;0.4
4.1;0.4
4.2;0.4
4.3;0.48
4.4;0.48
4.5;0.48
4.6;0.48
4.7;0.48
4.8;0.56
4.9;0.56
5;0.64
5.1;0.64
5.2;0.64
5.3;0.64
5.4;0.64
5.5;0.72
5.6;0.72
5.7;0.72
5.8;0.72
5.9;0.8
6;0.8
6.1;0.8
6.2;0.8
6.3;0.88
6.4;0.8
6.5;0.88
6.6;0.88
6.7;0.88
6.8;0.96
6.9;0.96
7;0.96
7.1;1.04
7.2;1.04
7.3;1.04
7.4;1.04
7.5;1.04
7.6;1.12
7.7;1.12
7.8;1.12
7.9;1.12
8;1.2
8.1;1.2
8.2;1.2
8.3;1.2
8.4;1.28
8.5;1.28
8.6;1.28
8.7;1.28
8.8;1.36
8.9;1.36
9;1.36
9.1;1.36
9.2;1.44
9.3;1.44
9.4;1.44
9.5;1.44
9.6;1.52
9.7;1.52
9.8;1.52
9.9;1.52
10;1.6
10.1;1.6
10.2;1.6
10.3;1.6
10.4;1.6
10.5;1.68
10.6;1.68
10.7;1.68
10.8;1.68
10.9;1.76
11;1.76
11.1;1.76
11.2;1.76
11.3;1.84
11.4;1.84
11.5;1.84
11.6;1.84
11.7;1.92
11.8;1.92
11.9;1.92
12;1.92
12.1;2
12.2;2
12.3;2
12.4;2
12.5;2
12.6;2.08
12.7;2.08
12.8;2.08
12.9;2.08
13;2.16
13.1;2.16
13.2;2.16
13.3;2.24
13.4;2.24
13.5;2.24
13.6;2.24
13.7;2.32
13.8;2.24
13.9;2.24
14;2.32
14.1;2.32
14.2;2.32
14.3;2.4
14.4;2.4
14.5;2.48
14.6;2.48
14.7;2.48
14.8;2.48
14.9;2.56
15;2.48
15.1;2.56
15.2;2.56
15.3;2.56
15.4;2.56
15.5;2.64
15.6;2.64
15.7;2.64
15.8;2.64
15.9;2.72
16;2.72
16.1;2.72
16.2;2.8
16.3;2.8
16.4;2.8
16.5;2.8
16.6;2.88
16.7;2.8
16.8;2.88
16.9;2.88
17;2.88
17.1;2.96
17.2;2.96
17.3;2.96
17.4;3.04
17.5;2.96
17.6;2.96
17.7;3.04
17.8;3.04
17.9;3.04
18;3.04
18.1;3.12
18.2;3.12
18.3;3.12
18.4;3.2
18.5;3.2
18.6;3.2
18.7;3.2
18.8;3.28
18.9;3.28
19;3.28
19.1;3.28
19.2;3.36
19.3;3.36
19.4;3.36
19.5;3.36
19.6;3.44
19.7;3.44
19.8;3.44
19.9;3.44
20;3.52
20.1;3.52
20.2;3.52
20.3;3.52
20.4;3.6
20.5;3.6
20.6;3.6
20.7;3.68
20.8;3.6
20.9;3.68
21;3.68
21.1;3.68
21.2;3.76
21.3;3.76
21.4;3.76
21.5;3.76
21.6;3.76
21.7;3.84
21.8;3.84
21.9;3.84
22;3.92
22.1;3.84
22.2;3.92
22.3;3.92
22.4;4
22.5;4
22.6;4
22.7;4
22.8;4.08
22.9;4.08
23;4.08
23.1;4.08
23.2;4.08
23.3;4.08
23.4;4.16
23.5;4.16
23.6;4.24
23.7;4.24
23.8;4.24
23.9;4.24
24;4.32
24.1;4.24
24.2;4.32
24.3;4.32
24.4;4.32
24.5;4.4
24.6;4.4
24.7;4.4
24.8;4.4
24.9;4.48
25;4.48
25.1;4.48
25.2;4.48
25.3;4.48
25.4;4.56
25.5;4.56
25.6;4.56
25.7;4.56
25.8;4.64
25.9;4.64
26;4.72
26.1;4.72
26.2;4.72
26.3;4.72
26.4;4.72
26.5;4.72
26.6;4.8
26.7;4.8
26.8;4.8
26.9;4.8
27;4.88
27.1;4.88
27.2;4.88
27.3;4.88
27.4;4.88
27.5;4.96
27.6;4.96
27.7;4.96
27.8;5.04
27.9;4.96
28;5.04
28.1;5.04
28.2;5.04
28.3;5.04
28.4;5.12
28.5;5.12
28.6;5.2
28.7;5.2
28.8;5.2
28.9;5.28
29;5.28
29.1;5.2
29.2;5.28
29.3;5.28
29.4;5.28
29.5;5.36
29.6;5.36
29.7;5.36
29.8;5.36
29.9;5.36
30;5.44
30.1;5.44
30.2;5.44
30.3;5.44
30.4;5.44
30.5;5.52
30.6;5.52
30.7;5.52
30.8;5.52
30.9;5.6
31;5.6
31.1;5.6
31.2;5.68
31.3;5.68
31.4;5.68
31.5;5.76
31.6;5.76
31.7;5.76
31.8;5.76
31.9;5.76
32;5.76
32.1;5.84
32.2;5.84
32.3;5.84
32.4;5.92
32.5;5.92
32.6;5.92
32.7;5.92
32.8;6
32.9;6
33;6
33.1;6
33.2;6.08
33.3;6.08
33.4;6.08
33.5;6.08
33.6;6.16
33.7;6.16
33.8;6.16
33.9;6.16
34;6.24
34.1;6.24
34.2;6.24
34.3;6.24
34.4;6.24
34.5;6.32
34.6;6.32
34.7;6.32
34.8;6.32
34.9;6.4
35;6.4
35.1;6.4
35.2;6.4
35.3;6.48
35.4;6.48
35.5;6.48
35.6;6.56
35.7;6.56
35.8;6.56
35.9;6.56
36;6.56
36.1;6.64
36.2;6.64
36.3;6.64
36.4;6.64
36.5;6.64
36.6;6.72
36.7;6.72
36.8;6.72
36.9;6.8
37;6.8
37.1;6.8
37.2;6.8
37.3;6.8
37.4;6.88
37.5;6.88
37.6;6.88
37.7;6.88
37.8;6.88
37.9;6.96
38;6.96
38.1;6.96
38.2;7.04
38.3;7.04
38.4;7.04
38.5;7.12
38.6;7.12
38.7;7.12
38.8;7.12
38.9;7.2
39;7.2
39.1;7.2
39.2;7.2
39.3;7.2
39.4;7.2
39.5;7.28
39.6;7.28
39.7;7.28
39.8;7.36
39.9;7.36
40;7.36
40.1;7.36
40.2;7.44
40.3;7.44
40.4;7.44
40.5;7.44
40.6;7.44
40.7;7.52
40.8;7.52
40.9;7.52
41;7.6
41.1;7.6
41.2;7.6
41.3;7.6
41.4;7.6
41.5;7.68
41.6;7.68
41.7;7.68
41.8;7.68
41.9;7.68
42;7.76
42.1;7.76
42.2;7.84
42.3;7.76
42.4;7.84
42.5;7.84
42.6;7.84
42.7;7.84
42.8;7.92
42.9;7.92
43;7.92
43.1;7.92
43.2;8
43.3;8
43.4;8
43.5;8
43.6;8.08
43.7;8.08
43.8;8.08
43.9;8.08
44;8.08
44.1;8.16
44.2;8.24
44.3;8.16
44.4;8.16
44.5;8.24
44.6;8.32
44.7;8.24
44.8;8.24
44.9;8.32
45;8.32
45.1;8.32
45.2;8.4
45.3;8.4
45.4;8.4
45.5;8.4
45.6;8.48
45.7;8.48
45.8;8.48
45.9;8.48
46;8.48
46.1;8.56
46.2;8.56
46.3;8.56
46.4;8.64
46.5;8.64
46.6;8.64
46.7;8.64
46.8;8.64
46.9;8.64
47;8.72
47.1;8.72
47.2;8.72
47.3;8.72
47.4;8.8
47.5;8.8
47.6;8.8
47.7;8.88
47.8;8.88
47.9;8.88
48;8.88
48.1;8.96
48.2;8.88
48.3;8.96
48.4;8.96
48.5;8.96
48.6;9.04
48.7;9.04
48.8;9.04
48.9;9.12
49;9.12
49.1;9.12
49.2;9.12
49.3;9.12
49.4;9.2
49.5;9.2
49.6;9.2
49.7;9.28
49.8;9.28
49.9;9.28
50;9.28
50.1;9.28
50.2;9.36
50.3;9.36
50.4;9.36
50.5;9.36
50.6;9.36
50.7;9.44
50.8;9.44
50.9;9.52
51;9.52
51.1;9.52
51.2;9.52
51.3;9.52
51.4;9.6
51.5;9.52
51.6;9.6
51.7;9.68
51.8;9.68
51.9;9.6
52;9.68
52.1;9.68
52.2;9.68
52.3;9.76
52.4;9.76
52.5;9.76
52.6;9.76
52.7;9.84
52.8;9.84
52.9;9.84
53;9.84
53.1;9.92
53.2;9.92
53.3;9.92
53.4;9.92
53.5;10
53.6;10
53.7;10
53.8;10
53.9;10
54;10
54.1;10.08
54.2;10.08
54.3;10.08
54.4;10.16
54.5;10.16
54.6;10.16
54.7;9.52
54.8;8.4
54.9;7.28
55;6.16
55.1;5.12
55.2;4
55.3;2.88
55.4;1.84
55.5;0.72
55.6;0.08
55.7;0.16
55.8;0.16
55.9;0.16
56;0.16
56.1;0.24
56.2;0.24
56.3;0.24
56.4;0.24
56.5;0.32
56.6;0.32
56.7;0.32
56.8;0.32
56.9;0.4
57;0.4
57.1;0.4
57.2;0.4
57.3;0.48
57.4;0.4
57.5;0.48
57.6;0.48
57.7;0.56
57.8;0.56
57.9;0.56
58;0.56
58.1;0.64
58.2;0.64
58.3;2
58.4;2
58.5;2
58.6;2
58.7;2
