# Oscilloscope file ./20191024_892330.bin
# Channel 1
Time / s;Voltage / V
0;-20
0.1;-20
0.2;-20
0.3;-20
0.4;-20
0.5;-19.6
0.6;-20
0.7;-19.6
0.8;-19.6
0.9;-20
1;-20
1.1;-20
1.2;-19.6
1.3;-20
1.4;-20
1.5;-19.6
1.6;-20
1.7;-19.6
1.8;-20
1.9;-20
2;-20
2.1;-20
2.2;-20
2.3;-20
2.4;-20
2.5;-20
2.6;-20
2.7;-20
2.8;-19.6
2.9;-20
3;-19.6
3.1;-20
3.2;-20
3.3;-19.6
3.4;-20
3.5;-20
3.6;-20
3.7;-20.4
3.8;-20.4
3.9;-20.8
4;-21.2
4.1;-21.6
4.2;-21.6
4.3;-22
4.4;-22
4.5;-22.4
4.6;-22.4
4.7;-22.4
4.8;-22.8
4.9;-23.2
5;-22.8
5.1;-23.6
5.2;-23.6
5.3;-23.2
5.4;-23.6
5.5;-24
5.6;-23.6
5.7;-24
5.8;-24
5.9;-24.4
6;-24.4
6.1;-24.4
6.2;-24.8
6.3;-24.8
6.4;-25.2
6.5;-25.2
6.6;-25.2
6.7;-25.6
6.8;-26
6.9;-26
7;-26
7.1;-26
7.2;-26.4
7.3;-26.4
7.4;-26.8
7.5;-26.8
7.6;-26.8
7.7;-26.8
7.8;-26.8
7.9;-27.2
8;-27.2
8.1;-27.2
8.2;-27.2
8.3;-27.2
8.4;-26.8
8.5;-27.2
8.6;-27.2
8.7;-27.2
8.8;-27.6
8.9;-27.6
9;-27.2
9.1;-27.6
9.2;-27.6
9.3;-27.6
9.4;-28
9.5;-28
9.6;-28
9.7;-28
9.8;-28
9.9;-28.4
10;-28.4
10.1;-28.4
10.2;-28.4
10.3;-28.8
10.4;-28.8
10.5;-28.8
10.6;-28.8
10.7;-28.8
10.8;-28.8
10.9;-29.2
11;-29.2
11.1;-29.6
11.2;-29.6
11.3;-29.6
11.4;-29.6
11.5;-29.6
11.6;-29.6
11.7;-30
11.8;-29.6
11.9;-29.6
12;-30
12.1;-30
12.2;-30
12.3;-30.4
12.4;-30.4
12.5;-30.4
12.6;-30.4
12.7;-30.4
12.8;-30.8
12.9;-30.8
13;-30.4
13.1;-30.4
13.2;-30.8
13.3;-30.8
13.4;-31.2
13.5;-30.8
13.6;-31.2
13.7;-31.2
13.8;-31.2
13.9;-31.6
14;-31.6
14.1;-32
14.2;-31.6
14.3;-32
14.4;-31.6
14.5;-31.6
14.6;-32
14.7;-32
14.8;-32
14.9;-32.4
15;-32.4
15.1;-32.8
15.2;-32.4
15.3;-32.8
15.4;-32.8
15.5;-33.2
15.6;-32.8
15.7;-33.2
15.8;-33.2
15.9;-33.2
16;-33.2
16.1;-33.2
16.2;-33.6
16.3;-33.6
16.4;-33.6
16.5;-33.6
16.6;-34
16.7;-34
16.8;-34
16.9;-34.4
17;-34.4
17.1;-34.4
17.2;-34.4
17.3;-34.8
17.4;-34.4
17.5;-34.8
17.6;-34.4
17.7;-34.8
17.8;-34.8
17.9;-35.2
18;-35.2
18.1;-35.2
18.2;-35.2
18.3;-35.6
18.4;-35.6
18.5;-35.6
18.6;-36
18.7;-36
18.8;-36
18.9;-36
19;-36
19.1;-36
19.2;-36.4
19.3;-36.8
19.4;-36.4
19.5;-37.2
19.6;-37.2
19.7;-37.2
19.8;-37.2
19.9;-37.2
20;-37.6
20.1;-37.6
20.2;-37.6
20.3;-37.6
20.4;-38.4
20.5;-38.4
20.6;-38
20.7;-38.4
20.8;-38
20.9;-38
21;-38
21.1;-38.4
21.2;-38.4
21.3;-38.4
21.4;-38.8
21.5;-38.4
21.6;-38.4
21.7;-38.8
21.8;-38.8
21.9;-38.8
22;-38.8
22.1;-38.8
22.2;-39.2
22.3;-38.8
22.4;-39.2
22.5;-39.2
22.6;-39.2
22.7;-39.6
22.8;-39.6
22.9;-39.6
23;-39.2
23.1;-40
23.2;-39.6
23.3;-39.6
23.4;-40
23.5;-40
23.6;-40
23.7;-40
23.8;-40.4
23.9;-40.4
24;-40.4
24.1;-40.4
24.2;-40.4
24.3;-40.4
24.4;-40.4
24.5;-40.4
24.6;-40.8
24.7;-40.8
24.8;-40.8
24.9;-40.8
25;-41.2
25.1;-41.2
25.2;-41.2
25.3;-41.2
25.4;-41.6
25.5;-41.6
25.6;-41.6
25.7;-41.6
25.8;-41.6
25.9;-42
26;-42
26.1;-42
26.2;-42
26.3;-42
26.4;-42.4
26.5;-42.4
26.6;-42.4
26.7;-42.4
26.8;-42.4
26.9;-42.8
27;-42.4
27.1;-42.8
27.2;-42.4
27.3;-42.4
27.4;-42.8
27.5;-42.8
27.6;-42.8
27.7;-43.2
27.8;-43.2
27.9;-43.2
28;-43.2
28.1;-43.2
28.2;-43.2
28.3;-42.8
28.4;-43.2
28.5;-43.2
28.6;-43.2
28.7;-43.2
28.8;-43.6
28.9;-43.6
29;-43.6
29.1;-44
29.2;-43.6
29.3;-43.6
29.4;-44
29.5;-44
29.6;-44
29.7;-44
29.8;-44.4
29.9;-44
30;-44.4
30.1;-44
30.2;-44.4
30.3;-44.4
30.4;-44.4
30.5;-44.4
30.6;-44.8
30.7;-44.8
30.8;-44.8
30.9;-44.8
31;-44.8
31.1;-45.2
31.2;-45.2
31.3;-45.2
31.4;-45.6
31.5;-45.2
31.6;-45.6
31.7;-45.2
31.8;-45.6
31.9;-45.6
32;-45.6
32.1;-46
32.2;-45.6
32.3;-46
32.4;-46
32.5;-46
32.6;-46
32.7;-46.4
32.8;-46.4
32.9;-46.4
33;-46.8
33.1;-46.8
33.2;-46.8
33.3;-46.8
33.4;-46.8
33.5;-47.2
33.6;-47.2
33.7;-47.2
33.8;-47.2
33.9;-47.2
34;-47.2
34.1;-47.6
34.2;-47.6
34.3;-47.6
34.4;-47.6
34.5;-47.6
34.6;-48
