# Oscilloscope file ./20191024_894339.bin
# Channel 2
Time / s;Voltage / V
0;0.32
0.1;0.4
0.2;0.32
0.3;0.4
0.4;0.4
0.5;0.4
0.6;0.4
0.7;0.4
0.8;0.4
0.9;0.4
1;0.4
1.1;0.4
1.2;0.4
1.3;0.32
1.4;0.32
1.5;0.32
1.6;0.32
1.7;0.32
1.8;0.24
1.9;0.32
2;0.24
2.1;0.32
2.2;0.24
2.3;0.32
2.4;0.32
2.5;0.32
2.6;0.32
2.7;0.32
2.8;0.32
2.9;0.32
3;0.4
3.1;0.4
3.2;0.4
3.3;0.4
3.4;0.4
3.5;0.48
3.6;0.4
3.7;0.32
3.8;0.32
3.9;0.4
4;0.32
4.1;0.32
4.2;0.32
4.3;0.32
4.4;0.24
4.5;0.32
4.6;0.32
4.7;0.32
4.8;0.32
4.9;0.32
5;0.4
5.1;0.4
5.2;0.48
5.3;0.8
5.4;1.28
5.5;1.68
5.6;2.16
5.7;2.8
5.8;3.2
5.9;3.52
6;4.08
6.1;4.48
6.2;4.24
6.3;4.08
6.4;3.12
6.5;0.48
6.6;0.32
6.7;0.32
6.8;0.32
6.9;0.32
7;0.32
7.1;0.32
7.2;0.32
7.3;0.32
7.4;0.24
7.5;0.32
7.6;0.32
7.7;0.32
7.8;0.32
7.9;0.4
8;0.32
8.1;0.4
8.2;0.32
8.3;0.4
8.4;0.4
8.5;0.4
8.6;0.4
8.7;0.4
8.8;0.4
8.9;0.4
9;0.32
9.1;0.4
9.2;0.32
9.3;0.4
9.4;0.4
9.5;0.48
9.6;0.56
9.7;0.72
9.8;0.8
9.9;0.88
10;1.04
10.1;1.2
10.2;1.28
10.3;1.28
10.4;1.28
10.5;1.2
10.6;0.64
10.7;0.4
10.8;0.4
10.9;0.4
11;0.4
11.1;0.4
11.2;0.32
11.3;0.4
11.4;0.4
11.5;0.4
11.6;0.32
11.7;0.32
11.8;0.32
11.9;0.32
12;0.24
12.1;0.32
12.2;0.24
12.3;0.24
12.4;0.24
12.5;0.32
12.6;0.32
12.7;0.32
12.8;0.32
12.9;0.32
13;0.32
13.1;0.4
13.2;0.32
13.3;0.4
13.4;0.4
13.5;0.4
13.6;0.4
13.7;0.4
13.8;0.4
13.9;0.4
14;0.32
14.1;0.4
14.2;0.32
14.3;0.4
14.4;0.32
14.5;0.32
14.6;0.32
14.7;0.32
14.8;0.24
14.9;0.32
15;0.32
15.1;0.32
15.2;0.32
15.3;0.32
15.4;0.32
15.5;0.32
15.6;0.32
15.7;0.4
15.8;0.32
15.9;0.4
16;0.32
16.1;0.4
16.2;0.32
16.3;0.4
16.4;0.32
16.5;0.4
16.6;0.4
16.7;0.4
16.8;0.32
16.9;0.32
17;0.32
17.1;0.32
17.2;0.24
17.3;0.24
17.4;0.24
17.5;0.32
17.6;0.24
17.7;0.32
17.8;0.32
17.9;0.32
18;0.32
18.1;0.4
18.2;0.4
18.3;0.4
18.4;0.4
18.5;0.48
18.6;0.48
18.7;0.48
18.8;0.48
18.9;0.4
19;0.4
19.1;0.4
19.2;0.32
19.3;0.4
19.4;0.32
19.5;0.32
19.6;0.32
19.7;0.32
19.8;0.24
19.9;0.32
20;0.24
20.1;0.32
20.2;0.24
20.3;-4.48
20.4;-4.48
20.5;-4.48
20.6;-4.48
20.7;-4.48
20.8;-4.48
20.9;-4.48
21;-4.48
21.1;-4.48
21.2;0.4
21.3;0.4
21.4;0.4
21.5;0.4
21.6;0.4
21.7;0.4
21.8;0.32
21.9;0.32
22;0.32
