# Oscilloscope file ./20191024_883422.bin
# Channel 1
Time / s;Voltage / V
0;6.64
0.1;6.64
0.2;6.64
0.3;6.64
0.4;6.72
0.5;6.72
0.6;6.72
0.7;6.72
0.8;6.72
0.9;6.8
1;6.8
1.1;6.8
1.2;6.8
1.3;6.88
1.4;6.8
1.5;6.88
1.6;6.88
1.7;6.96
1.8;6.96
1.9;6.96
2;7.04
2.1;6.96
2.2;7.04
2.3;7.04
2.4;7.04
2.5;7.12
2.6;7.04
2.7;7.12
2.8;7.2
2.9;7.12
3;7.2
3.1;7.2
3.2;7.2
3.3;7.2
3.4;7.28
3.5;7.2
3.6;7.28
3.7;7.28
3.8;7.36
3.9;7.36
4;7.36
4.1;7.36
4.2;7.36
4.3;7.44
4.4;7.44
4.5;7.44
4.6;7.52
4.7;7.52
4.8;7.52
4.9;7.52
5;7.52
5.1;7.6
5.2;7.6
5.3;7.6
5.4;7.6
5.5;7.68
5.6;7.68
5.7;7.68
5.8;7.68
5.9;7.68
6;7.76
6.1;7.76
6.2;7.84
6.3;7.76
6.4;7.84
6.5;7.84
6.6;7.84
6.7;7.84
6.8;7.84
6.9;7.92
7;7.92
7.1;7.92
7.2;7.92
7.3;8
7.4;8
7.5;8.08
7.6;8.08
7.7;8.08
7.8;8.08
7.9;8.08
8;8.08
8.1;8.16
8.2;8.16
8.3;8.16
8.4;8.24
8.5;8.24
8.6;8.24
8.7;8.24
8.8;8.32
8.9;8.32
9;8.32
9.1;8.32
9.2;8.4
9.3;8.4
9.4;8.4
9.5;8.4
9.6;8.4
9.7;8.48
9.8;8.48
9.9;8.48
10;8.56
10.1;8.48
10.2;8.48
10.3;8.56
10.4;8.56
10.5;8.56
10.6;8.64
10.7;8.64
10.8;8.64
10.9;8.72
11;8.72
11.1;8.72
11.2;8.72
11.3;8.8
11.4;8.72
11.5;8.8
11.6;8.8
11.7;8.8
11.8;8.88
11.9;8.8
12;8.88
12.1;8.88
12.2;8.96
12.3;8.96
12.4;8.96
12.5;8.96
12.6;9.04
12.7;9.04
12.8;9.04
12.9;9.04
13;9.04
13.1;9.12
13.2;9.12
13.3;9.12
13.4;9.12
13.5;9.12
13.6;9.2
13.7;9.2
13.8;9.2
13.9;9.2
14;9.28
14.1;9.28
14.2;9.36
14.3;9.36
14.4;9.36
14.5;9.36
14.6;9.36
14.7;9.36
14.8;9.44
14.9;9.44
15;9.44
15.1;9.44
15.2;9.52
15.3;9.52
15.4;9.52
15.5;9.6
15.6;9.6
15.7;9.6
15.8;9.6
15.9;9.6
16;9.6
16.1;9.68
16.2;9.68
16.3;9.68
16.4;9.76
16.5;9.76
16.6;9.76
16.7;9.84
16.8;9.84
16.9;9.84
17;9.84
17.1;9.84
17.2;9.92
17.3;9.92
17.4;9.92
17.5;9.92
17.6;9.92
17.7;9.92
17.8;10
17.9;10
18;10.08
18.1;10.08
18.2;10.08
18.3;10.08
18.4;10.16
18.5;10.16
18.6;9.76
18.7;8.64
18.8;7.52
18.9;6.4
19;5.36
19.1;4.16
19.2;3.12
19.3;2
19.4;0.88
19.5;0.08
19.6;0.08
19.7;0.08
19.8;0.08
19.9;0.16
20;0.16
20.1;0.16
20.2;0.16
20.3;0.24
20.4;0.24
20.5;0.24
20.6;0.24
20.7;0.32
20.8;0.32
20.9;0.32
21;0.4
21.1;0.32
21.2;0.4
21.3;0.4
21.4;0.4
21.5;0.4
21.6;0.48
21.7;0.48
21.8;0.48
21.9;0.48
22;0.56
22.1;0.56
22.2;0.56
22.3;0.56
22.4;0.64
22.5;0.64
22.6;0.64
22.7;0.64
22.8;0.72
22.9;0.72
23;0.72
23.1;0.72
23.2;0.72
23.3;0.8
23.4;0.8
23.5;0.8
23.6;0.8
23.7;0.88
23.8;0.88
23.9;0.88
24;0.88
24.1;0.88
24.2;0.96
24.3;0.96
24.4;0.96
24.5;1.04
24.6;1.04
24.7;1.04
24.8;1.12
24.9;1.12
25;1.12
25.1;1.12
25.2;1.12
25.3;1.12
25.4;1.2
25.5;1.2
25.6;1.2
25.7;1.28
25.8;1.28
25.9;1.28
26;1.36
26.1;1.36
26.2;1.36
26.3;1.36
26.4;1.36
26.5;1.44
26.6;1.44
26.7;1.44
26.8;1.44
26.9;1.44
27;1.52
27.1;1.52
27.2;1.6
27.3;1.6
27.4;1.52
27.5;1.6
27.6;1.6
27.7;1.68
27.8;1.68
27.9;1.68
28;1.68
28.1;1.76
28.2;1.76
28.3;1.76
28.4;1.76
28.5;1.76
28.6;1.76
28.7;1.84
28.8;1.84
28.9;1.92
29;1.84
29.1;1.92
29.2;1.92
29.3;2
29.4;2
29.5;2
29.6;2
29.7;2
29.8;2
29.9;2.08
30;2.08
30.1;2.08
30.2;2.08
30.3;2.16
30.4;2.16
30.5;2.16
30.6;2.16
30.7;2.24
30.8;2.24
30.9;2.24
31;2.24
31.1;2.24
31.2;2.24
31.3;2.32
31.4;2.32
31.5;2.4
31.6;2.4
31.7;2.4
31.8;2.4
31.9;2.4
32;2.48
32.1;2.48
32.2;2.48
32.3;2.48
32.4;2.56
32.5;2.56
32.6;2.56
32.7;2.56
32.8;2.56
32.9;2.64
33;2.64
33.1;2.64
33.2;2.72
33.3;2.72
33.4;2.72
33.5;2.72
33.6;2.8
33.7;2.8
33.8;2.8
33.9;2.8
34;2.88
34.1;2.88
34.2;2.88
34.3;2.88
34.4;2.88
34.5;2.88
34.6;2.96
34.7;2.96
34.8;2.96
34.9;2.96
35;3.04
35.1;3.04
35.2;3.04
35.3;3.04
35.4;3.12
35.5;3.12
35.6;3.12
35.7;3.2
35.8;3.2
35.9;3.2
36;3.2
36.1;3.2
36.2;3.2
36.3;3.28
36.4;3.28
36.5;3.36
36.6;3.36
36.7;3.36
36.8;3.36
36.9;3.44
37;3.44
37.1;3.44
37.2;3.44
37.3;3.44
37.4;3.52
37.5;3.52
37.6;3.52
37.7;3.6
37.8;3.6
37.9;3.6
38;3.6
38.1;3.6
38.2;3.6
38.3;3.68
38.4;3.68
38.5;3.68
38.6;3.76
38.7;3.76
38.8;3.76
38.9;3.76
39;3.76
39.1;3.76
39.2;3.84
39.3;3.84
39.4;3.92
39.5;3.84
39.6;3.92
39.7;3.92
39.8;3.92
39.9;3.92
40;4
40.1;4
40.2;4
40.3;4.08
40.4;4.08
40.5;4.08
40.6;4.16
40.7;4.16
40.8;4.16
40.9;4.16
41;4.24
