# Oscilloscope file ./20191024_883444.bin
# Channel 2
Time / s;Voltage / V
0;0.0228
0.1;0.0224
0.2;0.0232
0.3;0.0244
0.4;0.0252
0.5;0.0244
0.6;0.028
0.7;0.026
0.8;0.0264
0.9;0.024
1;0.024
1.1;0.022
1.2;0.0196
1.3;0.0236
1.4;0.0248
1.5;0.0232
1.6;0.0224
1.7;0.0244
1.8;0.0264
1.9;0.0248
2;0.0204
2.1;0.0224
2.2;0.024
2.3;0.0272
2.4;0.032
2.5;0.0288
2.6;0.0256
2.7;0.024
2.8;0.0252
2.9;0.028
3;0.0268
3.1;0.0248
3.2;0.022
3.3;0.0252
3.4;0.026
3.5;0.0232
3.6;0.0212
3.7;0.0244
3.8;0.026
3.9;0.0272
4;0.022
4.1;0.0212
4.2;0.0228
4.3;0.0228
4.4;0.026
4.5;0.0276
4.6;0.0268
4.7;0.0264
4.8;0.0256
4.9;0.0276
5;0.0212
5.1;0.022
5.2;0.0216
5.3;0.0232
5.4;0.0268
5.5;0.024
5.6;0.0264
5.7;0.0252
5.8;0.0276
5.9;0.0248
6;0.0208
6.1;0.0204
6.2;0.0196
6.3;0.0224
6.4;0.026
6.5;0.0284
6.6;0.0288
6.7;0.0236
6.8;0.0216
6.9;0.0224
7;0.022
7.1;0.022
7.2;0.022
7.3;0.0236
7.4;0.024
7.5;0.024
7.6;0.0264
7.7;0.0264
7.8;0.0276
7.9;0.0272
8;0.0188
8.1;0.0212
8.2;0.0188
8.3;0.0196
8.4;0.0204
8.5;0.0204
8.6;0.0236
8.7;0.0164
8.8;0.0204
8.9;0.0232
9;0.0244
9.1;0.0248
9.2;0.022
9.3;0.022
9.4;0.0224
9.5;0.0228
9.6;0.0228
9.7;0.0224
9.8;0.0208
9.9;0.02
10;0.0224
10.1;0.0268
10.2;0.0264
10.3;0.024
10.4;0.0224
10.5;0.0232
10.6;0.0252
10.7;0.0196
10.8;0.0236
10.9;0.0256
11;0.0208
11.1;0.0208
11.2;0.0256
11.3;0.026
11.4;0.0264
11.5;0.0264
11.6;0.0244
11.7;0.0244
11.8;0.026
11.9;0.0236
12;0.0236
12.1;0.0244
12.2;0.0224
12.3;0.0252
12.4;0.0244
12.5;0.0216
12.6;0.0184
12.7;0.0224
12.8;0.008
12.9;0.0256
13;0.0252
13.1;0.0228
13.2;0.0216
13.3;0.0216
13.4;0.022
13.5;0.0208
13.6;0.0232
13.7;0.0216
13.8;0.0224
13.9;0.0236
14;0.0244
14.1;0.0264
14.2;0.0236
14.3;0.026
14.4;0.0248
14.5;0.0236
14.6;0.0232
14.7;0.0248
14.8;0.03
14.9;0.028
15;0.0264
15.1;0.0196
15.2;0.0184
15.3;0.0248
15.4;0.0252
15.5;0.0236
15.6;0.024
15.7;0.0228
15.8;0.024
15.9;0.0236
16;0.0224
16.1;0.0224
16.2;0.0228
16.3;0.0256
16.4;0.0244
16.5;0.0244
16.6;0.0232
16.7;0.0216
16.8;0.024
16.9;0.0248
17;0.0256
17.1;0.0256
17.2;0.024
17.3;0.0232
17.4;0.024
17.5;0.024
17.6;0.0212
17.7;0.0224
17.8;0.0216
17.9;0.022
18;0.0224
18.1;0.0236
18.2;0.0228
18.3;0.0244
18.4;0.0228
18.5;0.0228
18.6;-0.0108
18.7;-0.0108
18.8;-0.0108
18.9;-0.0108
19;-0.0108
19.1;-0.0108
19.2;-0.0108
19.3;-0.0108
19.4;-0.0108
19.5;0.026
19.6;0.0292
19.7;0.0308
19.8;0.0324
19.9;0.0328
20;0.0224
20.1;0.0252
20.2;0.0236
20.3;0.0244
20.4;0.0244
20.5;0.0244
20.6;0.0252
20.7;0.0248
20.8;0.0252
20.9;0.026
21;0.0236
21.1;0.0228
21.2;0.0224
21.3;0.0244
21.4;0.0248
21.5;0.0264
21.6;0.0224
21.7;0.0228
21.8;0.0248
21.9;0.022
22;0.0208
22.1;0.024
22.2;0.0228
22.3;0.0236
22.4;0.0272
22.5;0.03
22.6;0.0312
22.7;0.0276
22.8;0.0296
22.9;0.0276
23;0.0284
23.1;0.0284
23.2;0.0276
23.3;0.026
23.4;0.0272
23.5;0.0272
23.6;0.0244
23.7;0.0244
23.8;0.024
23.9;0.028
24;0.0244
24.1;0.022
24.2;0.0276
24.3;0.0276
24.4;0.0272
24.5;0.0208
24.6;0.02
24.7;0.0232
24.8;0.0264
24.9;0.0232
25;0.0236
25.1;0.024
25.2;0.0284
25.3;0.0272
25.4;0.0232
25.5;0.0228
25.6;0.024
25.7;0.0276
25.8;0.0292
25.9;0.0284
26;0.028
26.1;0.0312
26.2;0.0264
26.3;0.0256
26.4;0.0192
26.5;0.022
26.6;0.0188
26.7;0.0268
26.8;0.03
26.9;0.0292
27;0.0276
27.1;0.0292
27.2;0.0268
27.3;0.0272
27.4;0.0264
27.5;0.0232
27.6;0.0244
27.7;0.0284
27.8;0.03
27.9;0.0312
28;0.0272
28.1;0.0268
28.2;0.0268
28.3;0.0308
28.4;0.0324
28.5;0.0316
28.6;0.028
28.7;0.0316
28.8;0.0308
28.9;0.0312
29;0.032
29.1;0.0348
29.2;0.0356
29.3;0.036
29.4;0.038
29.5;0.0368
29.6;0.0344
29.7;0.0364
29.8;0.0348
29.9;0.0372
30;0.0372
30.1;0.0404
30.2;0.0416
30.3;0.044
30.4;0.046
30.5;0.0436
30.6;0.0436
30.7;0.0452
