# Oscilloscope file ./20191024_895934.bin
# Channel 2
Time / s;Voltage / V
0;0.4
0.1;0.32
0.2;0.8
0.3;0.24
0.4;0.48
0.5;0.24
0.6;0.72
0.7;0.4
0.8;0.4
0.9;0.56
1;0.48
1.1;0.48
1.2;0.48
1.3;0.64
1.4;0.56
1.5;0.72
1.6;0.48
1.7;0.48
1.8;0.56
1.9;0.64
2;0.4
2.1;0.24
2.2;0.64
2.3;0.64
2.4;0.4
2.5;0.32
2.6;0.64
2.7;0.48
2.8;0.48
2.9;0.8
3;0.24
3.1;0.96
3.2;0.24
3.3;0.96
3.4;0.72
3.5;0.48
3.6;0.88
3.7;0.16
3.8;0.64
3.9;0.4
4;0.88
4.1;0.48
4.2;0.72
4.3;0.72
4.4;0.64
4.5;0.4
4.6;0.56
4.7;0.4
4.8;0.16
4.9;0.56
5;0.4
5.1;0.64
5.2;0.64
5.3;0.48
5.4;0.72
5.5;0.16
5.6;0.96
5.7;0.56
5.8;1.04
5.9;0.56
6;0.96
6.1;0.48
6.2;0.64
6.3;0.56
6.4;0.88
6.5;0.64
6.6;0.56
6.7;0.64
6.8;0.16
6.9;0.96
7;0.16
7.1;0.64
7.2;0.56
7.3;0.56
7.4;0.64
7.5;0.56
7.6;0.48
7.7;0.48
7.8;0.64
7.9;0.4
8;0.8
8.1;0.56
8.2;0.56
8.3;0.8
8.4;0.4
8.5;0.64
8.6;0.08
8.7;0.64
8.8;0.56
8.9;0.8
9;0.4
9.1;0.48
9.2;0.8
9.3;0.32
9.4;0.72
9.5;0.24
9.6;0.16
9.7;1.04
9.8;0.48
9.9;0.48
10;0.88
10.1;0.64
10.2;0.48
10.3;0.72
10.4;0.08
10.5;0.64
10.6;0.56
10.7;0.88
10.8;0.4
10.9;0.48
11;0.64
11.1;0.32
11.2;0.56
11.3;0.4
11.4;0.64
11.5;0.48
11.6;0.72
11.7;0.4
11.8;0.72
11.9;-0.16
12;1.2
12.1;0.8
12.2;0.4
12.3;0.48
12.4;0.24
12.5;0.72
12.6;0.72
12.7;0.08
12.8;0.8
12.9;0.72
13;0.4
13.1;0.96
13.2;0.08
13.3;0.8
13.4;0.4
13.5;0.48
13.6;0.48
13.7;0.24
13.8;0.8
13.9;0.8
14;0.16
14.1;0.8
14.2;0.48
14.3;0.08
14.4;0.64
14.5;-0.16
14.6;0.64
14.7;0.24
14.8;0.48
14.9;0.16
15;0.56
15.1;0.48
15.2;0.32
15.3;0.48
15.4;0.48
15.5;0.16
15.6;0.08
15.7;0
15.8;0.32
15.9;0.56
16;-0.08
16.1;-0.72
16.2;0.64
16.3;2.56
16.4;0.96
16.5;0.56
16.6;1.12
16.7;0.4
16.8;1.28
16.9;0
17;0.96
17.1;0.08
17.2;0.64
17.3;0
17.4;0.48
17.5;0.48
17.6;-0.16
17.7;0.56
17.8;-0.32
17.9;0.32
18;-0.08
18.1;0.4
18.2;0.08
18.3;0.4
18.4;0.24
18.5;0.24
18.6;0.4
18.7;-0.08
18.8;0.48
18.9;0
19;0.48
19.1;0.08
19.2;0.08
19.3;0.24
19.4;0.16
19.5;0.24
19.6;0.16
19.7;0.24
19.8;0.16
19.9;0.32
20;0.4
20.1;0.24
20.2;-0.16
20.3;0
20.4;0.08
20.5;0.16
20.6;0
20.7;0.32
20.8;0.08
20.9;0.16
21;0.08
21.1;0.08
21.2;-0.16
21.3;0.32
21.4;-0.16
21.5;0.32
21.6;-0.08
21.7;0.08
21.8;-0.16
21.9;-0.24
22;-0.4
22.1;-0.16
22.2;0.32
22.3;-0.16
22.4;0.72
22.5;-0.16
22.6;0.48
22.7;0.24
22.8;0.4
22.9;0
23;-0.08
23.1;-0.08
23.2;0.24
23.3;0
23.4;0.24
23.5;-0.16
23.6;0.32
23.7;-0.16
23.8;0.16
23.9;-0.08
24;0.24
24.1;-0.16
24.2;0.16
24.3;0.08
24.4;0.08
24.5;0
24.6;-0.16
24.7;0.16
24.8;0.16
24.9;0
25;0.16
25.1;-0.08
25.2;0.24
25.3;0.08
25.4;-0.16
25.5;0.24
25.6;-0.16
25.7;-0.08
25.8;0.08
25.9;0.48
26;0
26.1;-0.08
26.2;-0.08
26.3;0.8
26.4;0.24
26.5;0.32
26.6;0.16
26.7;0.16
26.8;0.4
26.9;0.56
27;-0.48
27.1;0.72
27.2;-0.08
27.3;0.32
27.4;0.32
27.5;-0.56
27.6;0.4
27.7;0
27.8;0.24
27.9;0.08
28;0.16
28.1;0.16
28.2;0.08
28.3;0
28.4;0.08
28.5;0.24
28.6;-0.32
28.7;0.4
28.8;-0.24
28.9;0.16
29;-0.56
29.1;0
29.2;-0.4
