# Oscilloscope file ./20191024_881433.bin
# Channel 2
Time / s;Voltage / V
0;-0.06
0.1;-0.04
0.2;-0.02
0.3;-0.02
0.4;-0.04
0.5;-0.06
0.6;-0.06
0.7;-0.06
0.8;0
0.9;0.02
1;0
1.1;0.04
1.2;0.04
1.3;0.06
1.4;0.06
1.5;0.06
1.6;0.06
1.7;0.08
1.8;0.08
1.9;0.06
2;0.08
2.1;0.12
2.2;0.16
2.3;0.14
2.4;0.14
2.5;0.14
2.6;0.16
2.7;0.16
2.8;0.1
2.9;0.08
3;0.06
3.1;0.1
3.2;0.1
3.3;0.12
3.4;0.12
3.5;0.14
3.6;0.16
3.7;0.1
3.8;0.1
3.9;0.08
4;0.08
4.1;0.1
4.2;0.12
4.3;0.12
4.4;0.1
4.5;0.1
4.6;0.08
4.7;0.08
4.8;0.1
4.9;0.1
5;0.08
5.1;0.06
5.2;0.08
5.3;0.08
5.4;0.08
5.5;0.1
5.6;0.08
5.7;0.06
5.8;0.06
5.9;0.08
6;0.08
6.1;0.08
6.2;0.06
6.3;0
6.4;0
6.5;0
6.6;-0.04
6.7;-0.04
6.8;-0.02
6.9;0
7;-0.02
7.1;-0.04
7.2;-0.08
7.3;-0.08
7.4;-0.06
7.5;-0.08
7.6;-0.1
7.7;-0.14
7.8;-0.12
7.9;-0.12
8;-0.14
8.1;-0.16
8.2;-0.2
8.3;-0.22
8.4;-0.22
8.5;-0.18
8.6;-0.2
8.7;-0.18
8.8;-0.2
8.9;-0.22
9;-0.22
9.1;-0.22
9.2;-0.2
9.3;-0.2
9.4;-0.2
9.5;-0.2
9.6;-0.2
9.7;-0.2
9.8;-0.2
9.9;-0.22
10;-0.2
10.1;-0.22
10.2;-0.24
10.3;-0.26
10.4;-0.24
10.5;-0.18
10.6;-0.18
10.7;-0.2
10.8;-0.22
10.9;-0.22
11;-0.22
11.1;-0.24
11.2;-0.22
11.3;-0.22
11.4;-0.22
11.5;-0.26
11.6;-0.26
11.7;-0.22
11.8;-0.2
11.9;-0.18
12;-0.2
12.1;-0.22
12.2;-0.22
12.3;-0.2
12.4;-0.2
12.5;-0.2
12.6;-0.22
12.7;-0.8
12.8;-0.8
12.9;-0.8
13;-0.8
13.1;-0.8
13.2;-0.8
13.3;-0.8
13.4;-0.8
13.5;-0.8
13.6;4.28
13.7;4.28
13.8;4.2
13.9;4.02
14;3.82
14.1;3.7
14.2;3.64
14.3;3.64
14.4;3.7
14.5;3.74
14.6;3.8
14.7;3.9
14.8;3.98
14.9;4.06
15;4.1
15.1;4.14
15.2;4.22
15.3;4.3
15.4;4.3
15.5;4.3
15.6;4.3
15.7;4.3
15.8;4.3
15.9;4.3
16;4.3
16.1;4.3
16.2;4.3
16.3;4.3
16.4;4.3
16.5;4.3
16.6;4.3
16.7;4.3
16.8;4.3
16.9;4.3
17;4.3
17.1;4.3
17.2;4.3
17.3;4.3
17.4;4.3
17.5;4.3
17.6;4.3
17.7;4.3
17.8;4.3
17.9;4.3
18;4.3
18.1;4.3
18.2;4.3
18.3;4.3
18.4;4.3
18.5;4.3
18.6;4.3
18.7;4.3
18.8;4.3
18.9;4.3
19;4.3
19.1;4.3
19.2;4.3
19.3;4.3
19.4;4.3
19.5;4.3
19.6;4.3
19.7;4.3
19.8;4.24
19.9;4.14
20;4.08
20.1;3.98
20.2;3.86
20.3;3.7
20.4;3.54
20.5;3.38
20.6;3.26
20.7;3.14
20.8;2.98
20.9;2.78
21;2.58
21.1;2.36
21.2;2.14
21.3;1.86
21.4;1.5
21.5;1.1
21.6;0.72
21.7;0.4
21.8;0.16
21.9;0.02
22;-0.04
22.1;-0.06
22.2;-0.08
22.3;-0.08
22.4;-0.08
22.5;-0.1
22.6;-0.08
22.7;-0.06
22.8;-0.04
22.9;-0.02
23;-0.02
23.1;0.02
23.2;0.02
23.3;0.04
23.4;0.02
23.5;0
23.6;0
23.7;0.04
23.8;0.06
23.9;0.1
24;0.1
24.1;0.06
24.2;0.06
24.3;0.08
24.4;0.1
24.5;0.14
24.6;0.14
24.7;0.12
24.8;0.14
24.9;0.18
25;0.18
25.1;0.22
25.2;0.24
25.3;0.24
25.4;0.24
25.5;0.28
25.6;0.3
25.7;0.28
25.8;0.3
25.9;0.3
26;0.3
26.1;0.28
26.2;0.3
26.3;0.32
26.4;0.34
26.5;0.36
26.6;0.38
26.7;0.38
26.8;0.38
26.9;0.36
27;0.36
27.1;0.36
27.2;0.32
27.3;0.32
27.4;0.36
27.5;0.36
27.6;0.38
27.7;0.36
27.8;0.32
27.9;0.32
28;0.34
28.1;0.38
28.2;0.36
28.3;0.36
28.4;0.32
28.5;0.34
28.6;0.36
28.7;0.36
28.8;0.34
28.9;0.34
29;0.38
29.1;0.36
29.2;0.32
29.3;0.28
29.4;0.26
29.5;0.24
29.6;0.24
29.7;0.26
29.8;0.26
29.9;0.24
30;0.24
30.1;0.24
30.2;0.24
30.3;0.2
30.4;0.16
30.5;0.16
30.6;0.18
30.7;0.18
30.8;0.16
30.9;0.16
31;0.14
31.1;0.12
31.2;0.12
31.3;0.1
31.4;0.04
31.5;0
31.6;0
31.7;-0.02
31.8;-0.02
31.9;-0.04
32;-0.04
32.1;-0.04
32.2;0
32.3;0.06
32.4;0.1
32.5;0.16
32.6;0.2
32.7;0.26
32.8;0.3
32.9;0.32
33;0.38
33.1;0.44
33.2;0.48
33.3;0.52
33.4;0.56
33.5;0.6
33.6;0.66
33.7;0.68
33.8;0.7
33.9;0.7
34;0.72
34.1;0.72
34.2;0.74
34.3;0.78
34.4;0.86
34.5;0.88
34.6;0.94
34.7;0.98
34.8;1.04
34.9;1.08
35;1.12
35.1;1.14
35.2;1.2
35.3;1.22
35.4;1.28
35.5;1.38
35.6;1.42
35.7;1.48
35.8;1.54
35.9;1.6
36;1.62
36.1;1.62
36.2;1.62
36.3;1.64
36.4;1.66
36.5;1.68
36.6;1.7
36.7;1.72
36.8;1.74
36.9;1.78
37;1.8
37.1;1.84
37.2;1.86
37.3;1.84
37.4;1.86
37.5;1.86
37.6;1.82
37.7;1.82
37.8;1.82
37.9;1.84
38;1.8
38.1;1.78
38.2;1.8
38.3;1.78
38.4;1.78
38.5;1.72
38.6;1.68
38.7;1.68
38.8;1.72
38.9;1.74
39;1.72
39.1;1.66
39.2;1.68
39.3;1.66
39.4;1.64
39.5;1.62
39.6;1.58
39.7;1.52
39.8;1.5
39.9;1.5
40;1.48
40.1;1.42
40.2;1.4
40.3;1.36
40.4;1.28
40.5;1.22
40.6;1.2
40.7;1.16
40.8;1.12
40.9;1.08
41;1.04
41.1;0.98
41.2;0.94
41.3;0.84
41.4;0.76
41.5;0.64
41.6;0.56
41.7;0.44
41.8;0.28
41.9;0.16
42;0.08
42.1;0.04
42.2;0.02
42.3;0.04
42.4;0.02
42.5;0.02
42.6;0.04
42.7;0.06
42.8;0.1
42.9;0.08
43;0.1
43.1;0.12
43.2;0.14
43.3;0.12
43.4;0.14
43.5;0.12
43.6;0.16
43.7;0.16
43.8;0.18
43.9;0.22
44;0.22
44.1;0.2
44.2;0.18
44.3;0.22
44.4;0.26
44.5;0.28
44.6;0.26
44.7;0.24
44.8;0.24
44.9;0.26
45;0.28
45.1;0.26
45.2;0.28
45.3;0.22
45.4;0.24
45.5;0.22
45.6;0.26
45.7;0.26
45.8;0.3
45.9;0.26
46;0.26
46.1;0.3
46.2;0.26
46.3;0.3
46.4;0.34
46.5;0.34
46.6;0.32
46.7;0.3
46.8;0.3
46.9;0.3
47;0.32
47.1;0.32
47.2;0.36
47.3;0.32
47.4;0.3
47.5;0.26
47.6;0.28
47.7;0.3
47.8;0.3
47.9;0.3
48;0.28
48.1;0.24
48.2;0.28
48.3;0.28
48.4;0.28
48.5;0.26
48.6;0.26
48.7;0.26
48.8;0.26
48.9;0.26
49;0.26
49.1;0.26
49.2;0.26
49.3;0.26
49.4;0.24
49.5;0.24
49.6;0.22
49.7;0.22
49.8;0.2
49.9;0.2
50;0.2
50.1;0.2
50.2;0.18
50.3;0.14
50.4;0.14
50.5;0.1
50.6;0.12
50.7;0.1
50.8;0.1
50.9;0.08
51;0.08
51.1;0.04
51.2;0
51.3;-0.04
51.4;-0.04
51.5;0
51.6;0
51.7;-0.04
51.8;-0.08
