# Oscilloscope file ./20191024_883056.bin
# Channel 2
Time / s;Voltage / V
0;0.04
0.1;0.04
0.2;0
0.3;0.04
0.4;0.04
0.5;0.04
0.6;0.04
0.7;0.04
0.8;0.04
0.9;0.04
1;0.04
1.1;0.04
1.2;0.04
1.3;0.04
1.4;0.04
1.5;0.04
1.6;0.04
1.7;0.04
1.8;0.04
1.9;0.04
2;0.04
2.1;0.04
2.2;0.04
2.3;0.04
2.4;0.04
2.5;0.04
2.6;0.04
2.7;0.04
2.8;0.04
2.9;0.04
3;0.04
3.1;0.04
3.2;0.04
3.3;0.04
3.4;0.04
3.5;0.04
3.6;0.04
3.7;0.04
3.8;0.04
3.9;0.04
4;0.04
4.1;0.04
4.2;0.04
4.3;0.04
4.4;0.04
4.5;0.04
4.6;0.04
4.7;0.04
4.8;0.04
4.9;0.04
5;0.04
5.1;0.04
5.2;0.04
5.3;0.04
5.4;0.04
5.5;0.04
5.6;0.04
5.7;0.08
5.8;0.04
5.9;0.04
6;0.04
6.1;0.08
6.2;0.08
6.3;0.04
6.4;0.08
6.5;0.04
6.6;0.04
6.7;0.08
6.8;0.04
6.9;0.08
7;0.08
7.1;0.08
7.2;0.12
7.3;0.16
7.4;0.12
7.5;0.16
7.6;0.16
7.7;0.16
7.8;0.2
7.9;0.2
8;0.2
8.1;0.24
8.2;0.24
8.3;0.28
8.4;0.28
8.5;0.28
8.6;0.28
8.7;0.28
8.8;0.32
8.9;0.32
9;0.36
9.1;0.4
9.2;0.44
9.3;-1.08
9.4;-1.08
9.5;-1.08
9.6;-1.08
9.7;-1.08
9.8;-1.08
9.9;-1.08
10;-1.08
10.1;-1.08
10.2;0.04
10.3;0.04
10.4;0.04
10.5;0.04
10.6;0.04
10.7;0.04
10.8;0.04
10.9;0.04
11;0.04
11.1;0.04
11.2;0.04
11.3;0.04
11.4;0.04
11.5;0.04
11.6;0.04
11.7;0.04
11.8;0.04
11.9;0.04
12;0.04
12.1;0.04
12.2;0.04
12.3;0.04
12.4;0.04
12.5;0.04
12.6;0.04
12.7;0.04
12.8;0.04
12.9;0.04
13;0.04
13.1;0.04
13.2;0
13.3;0
13.4;0.04
13.5;0.04
13.6;0.08
13.7;0.04
13.8;0.04
13.9;0.04
14;0.04
14.1;0.04
14.2;0.08
14.3;0.04
14.4;0.04
14.5;0.04
14.6;0.04
14.7;0.08
14.8;0.04
14.9;0.04
15;0.04
15.1;0.04
15.2;0.04
15.3;0.04
15.4;0.04
15.5;0.04
15.6;0.04
15.7;0.08
15.8;0.04
15.9;0.04
16;0.04
16.1;0.04
16.2;0.04
16.3;0.08
16.4;0.04
16.5;0.04
16.6;0.04
16.7;0.04
16.8;0.04
16.9;0.04
17;0.04
17.1;0.04
17.2;0.04
17.3;0.04
17.4;0.04
17.5;0.08
17.6;0.04
17.7;0.04
17.8;0.04
17.9;0.04
18;0.08
18.1;0.04
18.2;0.04
18.3;0.04
18.4;0.04
18.5;0.04
18.6;0.08
18.7;0.04
18.8;0.04
18.9;0.08
19;0.04
19.1;0.08
19.2;0.04
19.3;0.08
19.4;0.08
19.5;0.04
19.6;0.08
19.7;0.08
19.8;0.08
19.9;0.08
20;0.12
20.1;0.12
20.2;0.12
20.3;0.12
20.4;0.12
20.5;0.16
20.6;0.2
20.7;0.2
20.8;0.24
20.9;0.28
21;0.32
21.1;0.4
21.2;0.48
21.3;0.52
21.4;0.6
21.5;0.68
21.6;0.76
21.7;0.76
21.8;0.88
21.9;0.92
22;1
22.1;1.08
22.2;1.16
22.3;1.16
22.4;1.28
22.5;1.36
22.6;1.4
22.7;1.52
22.8;1.64
22.9;1.76
23;1.88
23.1;2.08
23.2;2.24
23.3;2.44
23.4;2.64
23.5;2.84
23.6;3.04
23.7;3.24
23.8;3.48
23.9;3.64
24;3.84
24.1;4
24.2;4.2
24.3;4.36
24.4;4.52
24.5;4.68
24.6;4.8
24.7;4.96
24.8;5.04
24.9;5.16
25;5.28
25.1;5.4
25.2;5.48
25.3;5.6
25.4;5.68
25.5;5.8
25.6;5.88
25.7;6
25.8;6.08
25.9;6.16
26;6.28
26.1;6.4
26.2;6.48
26.3;6.56
26.4;6.64
26.5;6.72
26.6;6.8
26.7;6.84
26.8;6.92
26.9;6.96
27;6.96
27.1;7.04
27.2;7.04
27.3;7.04
27.4;7.04
27.5;7.04
27.6;7.04
27.7;7.04
27.8;7.08
27.9;7.04
28;7.04
28.1;7
28.2;6.96
28.3;6.96
28.4;6.88
28.5;6.88
28.6;6.8
28.7;6.76
28.8;6.72
28.9;6.64
29;6.56
29.1;6.52
29.2;6.48
29.3;6.4
29.4;6.36
29.5;6.32
29.6;6.32
29.7;6.24
29.8;6.16
29.9;6.12
30;6.04
30.1;6
30.2;5.92
30.3;5.84
30.4;5.76
30.5;5.68
30.6;5.56
30.7;5.44
30.8;5.32
30.9;5.24
31;5.16
31.1;5
31.2;4.92
31.3;4.76
31.4;4.6
31.5;4.44
31.6;4.32
31.7;4.16
31.8;4
31.9;3.84
32;3.68
32.1;3.52
32.2;3.4
32.3;3.2
32.4;3
32.5;2.76
32.6;2.52
32.7;2.28
32.8;2
32.9;1.68
33;1.32
33.1;0.92
33.2;0.64
33.3;0.4
33.4;0.28
33.5;0.2
33.6;0.12
33.7;0.08
33.8;0.08
33.9;0.04
34;0.08
34.1;0.08
34.2;0.08
34.3;0.08
34.4;0.08
34.5;0.08
34.6;0.08
34.7;0.08
34.8;0.08
34.9;0.08
35;0.08
35.1;0.08
35.2;0.08
35.3;0.08
35.4;0.08
35.5;0.08
35.6;0.08
35.7;0.08
35.8;0.08
35.9;0.08
36;0.08
36.1;0.08
36.2;0.08
36.3;0.08
36.4;0.12
36.5;0.08
36.6;0.12
36.7;0.08
36.8;0.12
36.9;0.08
37;0.08
37.1;0.08
37.2;0.08
37.3;0.12
37.4;0.12
37.5;0.08
37.6;0.12
37.7;0.12
37.8;0.08
37.9;0.08
38;0.12
38.1;0.08
38.2;0.12
38.3;0.08
38.4;0.12
38.5;0.08
38.6;0.08
38.7;0.12
38.8;0.08
38.9;0.08
39;0.08
39.1;0.08
39.2;0.08
39.3;0.08
39.4;0.08
39.5;0.08
39.6;0.08
39.7;0.08
39.8;0.08
39.9;0.08
40;0.08
40.1;0.08
40.2;0.08
40.3;0.08
40.4;0.04
40.5;0.08
40.6;0.08
40.7;0.08
40.8;0.08
40.9;0.08
41;0.08
41.1;0.08
41.2;0.08
41.3;0.08
41.4;0.08
41.5;0.08
41.6;0.04
41.7;0.08
41.8;0.08
41.9;0.08
42;0.08
42.1;0.08
42.2;0.08
42.3;0.04
42.4;0.08
42.5;0.08
42.6;0.08
42.7;0.04
42.8;0.04
42.9;0.04
43;0.08
43.1;0.04
43.2;0.04
43.3;0.08
43.4;0
43.5;0.04
43.6;0.04
43.7;0.04
43.8;0.04
43.9;0.04
44;0.04
44.1;0.04
44.2;0.04
44.3;0.04
44.4;0.04
44.5;0.04
44.6;0.04
44.7;0.08
44.8;0.04
44.9;0.04
45;0.08
45.1;0.04
45.2;0.04
45.3;0.04
45.4;0.04
45.5;0.04
45.6;0.04
45.7;0.04
45.8;0.04
45.9;0.04
46;0.04
46.1;0.04
46.2;0.04
46.3;0.04
46.4;0.04
46.5;0.04
46.6;0.04
46.7;0.04
46.8;0.04
46.9;0.04
47;0.04
47.1;0.04
47.2;0
47.3;0.08
47.4;0.04
47.5;0.04
47.6;0.04
47.7;0.04
47.8;0.04
47.9;0.04
48;0.04
48.1;0.04
48.2;0.04
48.3;0.04
48.4;0.04
48.5;0.04
48.6;0.04
48.7;0.04
48.8;0.04
48.9;0.04
49;0.04
49.1;0.04
49.2;0.04
49.3;0.04
49.4;0.04
49.5;0.04
49.6;0.04
49.7;0.04
49.8;0.04
49.9;0.04
50;0.04
50.1;0.04
50.2;0.04
50.3;0.04
50.4;0.04
50.5;0.04
50.6;0.04
50.7;0.04
50.8;0.04
50.9;0.04
51;0.04
51.1;0.04
51.2;0.08
51.3;0.04
51.4;0.04
51.5;0.04
51.6;0.04
51.7;0.04
51.8;0.04
51.9;0.04
52;0.04
52.1;0.04
52.2;0.04
52.3;0.04
52.4;0.04
52.5;0.04
52.6;0.04
52.7;0.04
52.8;0.04
52.9;0.04
53;0.08
53.1;0.04
53.2;0.04
53.3;0.04
53.4;0.04
53.5;0.04
53.6;0.04
53.7;0.04
53.8;0.04
53.9;0.04
54;0.04
54.1;0.04
54.2;0.04
54.3;0.04
54.4;0
54.5;0.04
54.6;0.04
54.7;0.04
54.8;0.04
54.9;0.04
55;0.04
55.1;0.04
55.2;0.04
55.3;0.04
55.4;0.04
55.5;0.04
55.6;0.04
55.7;0.04
55.8;0.04
55.9;0.04
56;0.04
56.1;0.04
56.2;0.04
56.3;0.04
56.4;0.04
56.5;0.04
56.6;0.04
56.7;0.04
56.8;0.04
56.9;0.04
57;0.04
57.1;0.04
57.2;0.04
57.3;0.04
57.4;0.04
57.5;0.04
57.6;0.04
57.7;0.04
57.8;0.04
57.9;0.04
58;0.04
58.1;0.04
58.2;0.04
58.3;0.04
58.4;0.04
58.5;0.04
58.6;0.04
58.7;0.04
58.8;0.04
58.9;0.04
59;0.04
59.1;0.04
59.2;0.04
59.3;0.04
59.4;0.04
59.5;0.04
59.6;0.04
59.7;0.04
59.8;0.04
