# Oscilloscope file ./20191024_901723.bin
# Channel 2
Time / s;Voltage / V
0;0.32
0.1;0.4
0.2;0.32
0.3;0.32
0.4;0.4
0.5;0.4
0.6;0.4
0.7;0.4
0.8;0.48
0.9;0.4
1;0.48
1.1;0.4
1.2;0.48
1.3;0.4
1.4;0.32
1.5;0.48
1.6;0.32
1.7;0.56
1.8;0.24
1.9;0.56
2;0.24
2.1;0.48
2.2;0.24
2.3;0.4
2.4;0.32
2.5;0.32
2.6;0.4
2.7;0.32
2.8;0.4
2.9;0.32
3;0.4
3.1;0.32
3.2;0.48
3.3;0.4
3.4;0.48
3.5;0.4
3.6;0.48
3.7;0.4
3.8;0.48
3.9;0.4
4;0.48
4.1;0.4
4.2;0.4
4.3;0.4
4.4;0.4
4.5;0.4
4.6;0.4
4.7;0.32
4.8;0.4
4.9;0.32
5;0.32
5.1;0.32
5.2;0.4
5.3;0.32
5.4;0.4
5.5;0.32
5.6;0.4
5.7;0.32
5.8;0.4
5.9;0.4
6;0.48
6.1;0.4
6.2;0.48
6.3;0.48
6.4;0.4
6.5;0.4
6.6;0.48
6.7;0.4
6.8;0.4
6.9;0.32
7;0.4
7.1;0.4
7.2;0.32
7.3;0.32
7.4;0.4
7.5;0.32
7.6;0.32
7.7;0.32
7.8;0.32
7.9;0.32
8;0.32
8.1;0.4
8.2;0.32
8.3;0.32
8.4;0.4
8.5;0.4
8.6;0.4
8.7;0.4
8.8;0.4
8.9;0.48
9;0.4
9.1;0.48
9.2;0.48
9.3;0.4
9.4;0.4
9.5;0.4
9.6;0.4
9.7;0.32
9.8;0.4
9.9;0.32
10;0.32
10.1;0.32
10.2;0.4
10.3;0.32
10.4;0.4
10.5;0.32
10.6;0.32
10.7;0.32
10.8;0.4
10.9;0.4
11;0.4
11.1;0.4
11.2;0.48
11.3;0.4
11.4;0.48
11.5;0.48
11.6;0.48
11.7;0.4
11.8;0.4
11.9;0.4
12;0.48
12.1;0.4
12.2;0.4
12.3;0.4
12.4;0.4
12.5;0.4
12.6;0.4
12.7;0.32
12.8;0.32
12.9;0.32
13;0.4
13.1;0.4
13.2;0.4
13.3;0.4
13.4;0.4
13.5;0.4
13.6;0.48
13.7;0.4
13.8;0.48
13.9;0.48
14;0.48
14.1;0.48
14.2;0.48
14.3;0.48
14.4;0.48
14.5;0.48
14.6;0.48
14.7;0.48
14.8;0.48
14.9;0.48
15;0.48
15.1;0.4
15.2;0.48
15.3;0.4
15.4;0.48
15.5;0.48
15.6;0.56
15.7;0.48
15.8;0.48
15.9;0.56
16;0.56
16.1;0.56
16.2;0.56
16.3;0.56
16.4;0.56
16.5;0.4
16.6;0.48
16.7;0.48
16.8;0.48
16.9;0.48
17;0.4
17.1;0.4
17.2;0.4
17.3;0.4
17.4;0.4
17.5;0.32
17.6;0.4
17.7;0.32
17.8;0.32
17.9;0.32
18;0.32
18.1;0.32
18.2;0.32
18.3;0.32
18.4;0.4
18.5;0.4
18.6;0.48
18.7;0.4
18.8;0.48
18.9;0.4
19;0.4
19.1;0.48
19.2;0.48
19.3;0.4
19.4;0.48
19.5;0.48
19.6;0.48
19.7;0.4
19.8;0.48
19.9;0.4
20;0.48
20.1;0.32
20.2;0.4
20.3;0.4
20.4;0.4
20.5;0.32
20.6;0.4
20.7;0.32
20.8;0.4
20.9;0.4
21;0.4
21.1;0.4
21.2;0.4
21.3;0.4
21.4;0.4
21.5;0.4
21.6;0.48
21.7;0.48
21.8;0.48
21.9;0.4
22;0.48
22.1;0.4
