# Oscilloscope file ./20191024_883029.bin
# Channel 1
Time / s;Voltage / V
0;8.4
0.1;8.4
0.2;8.4
0.3;8.48
0.4;8.48
0.5;8.56
0.6;8.48
0.7;8.48
0.8;8.56
0.9;8.56
1;8.56
1.1;8.64
1.2;8.64
1.3;8.64
1.4;8.64
1.5;8.64
1.6;8.72
1.7;8.72
1.8;8.72
1.9;8.72
2;8.8
2.1;8.8
2.2;8.8
2.3;8.8
2.4;8.8
2.5;8.88
2.6;8.88
2.7;8.96
2.8;8.88
2.9;8.96
3;8.96
3.1;8.96
3.2;9.04
3.3;9.04
3.4;9.04
3.5;9.12
3.6;9.04
3.7;9.12
3.8;9.12
3.9;9.12
4;9.12
4.1;9.2
4.2;9.2
4.3;9.2
4.4;9.2
4.5;9.28
4.6;9.28
4.7;9.28
4.8;9.28
4.9;9.28
5;9.36
5.1;9.44
5.2;9.36
5.3;9.44
5.4;9.44
5.5;9.44
5.6;9.44
5.7;9.44
5.8;9.52
5.9;9.52
6;9.52
6.1;9.52
6.2;9.6
6.3;9.6
6.4;9.6
6.5;9.6
6.6;9.68
6.7;9.68
6.8;9.68
6.9;9.68
7;9.76
7.1;9.76
7.2;9.76
7.3;9.84
7.4;9.76
7.5;9.84
7.6;9.84
7.7;9.84
7.8;9.92
7.9;9.92
8;9.92
8.1;9.92
8.2;9.92
8.3;10
8.4;10
8.5;10
8.6;10.08
8.7;10.08
8.8;10.08
8.9;10.16
9;10.16
9.1;10.16
9.2;10.16
9.3;9.68
9.4;8.64
9.5;7.44
9.6;6.4
9.7;5.28
9.8;4.24
9.9;3.12
10;2
10.1;0.88
10.2;0.08
10.3;0.08
10.4;0.08
10.5;0.16
10.6;0.16
10.7;0.16
10.8;0.16
10.9;0.16
11;0.16
11.1;0.24
11.2;0.24
11.3;0.24
11.4;0.32
11.5;0.4
11.6;0.32
11.7;0.4
11.8;0.4
11.9;0.4
12;0.4
12.1;0.4
12.2;0.48
12.3;0.48
12.4;0.48
12.5;0.48
12.6;0.56
12.7;0.56
12.8;0.56
12.9;0.64
13;0.64
13.1;0.64
13.2;0.64
13.3;0.64
13.4;0.72
13.5;0.64
13.6;0.72
13.7;0.8
13.8;0.72
13.9;0.8
14;0.8
14.1;0.88
14.2;0.8
14.3;0.88
14.4;0.88
14.5;0.88
14.6;0.96
14.7;0.96
14.8;0.96
14.9;0.96
