# Oscilloscope file ./20191024_892521.bin
# Channel 2
Time / s;Voltage / V
0;0.32
0.1;0.24
0.2;0.32
0.3;0.32
0.4;0.32
0.5;0.32
0.6;0.32
0.7;0.4
0.8;0.32
0.9;0.32
1;0.32
1.1;0.32
1.2;0.4
1.3;0.4
1.4;0.4
1.5;0.4
1.6;0.4
1.7;0.48
1.8;0.32
1.9;0.4
2;0.48
2.1;0.32
2.2;0.24
2.3;0.24
2.4;0.24
2.5;0.4
2.6;0.4
2.7;0.4
2.8;0.4
2.9;0.4
3;0.4
3.1;0.4
3.2;0.4
3.3;0.4
3.4;0.48
3.5;0.48
3.6;0.48
3.7;0.48
3.8;0.32
3.9;0.08
4;-0.16
4.1;-0.24
4.2;-0.32
4.3;-0.24
4.4;-0.32
4.5;-0.16
4.6;-0.24
4.7;-0.16
4.8;0
4.9;0.08
5;0.08
5.1;0.16
5.2;0.16
5.3;0.16
5.4;0.16
5.5;0.16
5.6;0.16
5.7;0.16
5.8;0.08
5.9;0.08
6;0.08
6.1;0
6.2;0.16
6.3;0.24
6.4;0.24
6.5;0.16
6.6;0.08
6.7;0
6.8;-0.16
6.9;-0.24
7;-0.24
7.1;-0.24
7.2;-0.24
7.3;-0.24
7.4;-0.24
7.5;-0.08
7.6;-0.08
7.7;-0.08
7.8;0
7.9;-0.08
8;-0.16
8.1;-0.16
8.2;0
8.3;0.24
8.4;0.32
8.5;0.4
8.6;0.32
8.7;0.16
8.8;0.16
8.9;0.16
9;0.16
9.1;0.16
9.2;0.16
9.3;0.08
9.4;0.08
9.5;0.08
9.6;0.16
9.7;0.08
9.8;0.16
9.9;0.16
10;0.16
10.1;0.08
10.2;0.08
10.3;0.08
10.4;0
10.5;-0.08
10.6;-0.08
10.7;0
10.8;-0.08
10.9;0
11;0
11.1;0
11.2;0
11.3;-0.08
11.4;-0.08
11.5;-0.08
11.6;0
11.7;0
11.8;0
11.9;0.08
12;0.08
12.1;0.08
12.2;0
12.3;0
12.4;0
12.5;0
12.6;-0.08
12.7;-0.08
12.8;0
12.9;0
13;0
13.1;0
13.2;-0.08
13.3;0
13.4;0
13.5;0
13.6;0
13.7;-0.08
13.8;0
13.9;-0.08
14;-0.16
14.1;-0.08
14.2;-0.16
14.3;-0.56
14.4;-0.64
14.5;-0.56
14.6;-0.32
14.7;-0.16
14.8;0.08
14.9;0.16
15;0.08
15.1;0.08
15.2;0
15.3;-0.08
15.4;-0.16
15.5;-0.16
15.6;-0.16
15.7;-0.08
15.8;-0.16
15.9;-0.16
16;-0.16
16.1;-0.16
16.2;-0.16
16.3;-0.24
16.4;-0.24
16.5;-0.24
16.6;-0.24
16.7;-0.24
16.8;-0.32
16.9;-0.4
17;-0.32
17.1;-0.24
17.2;-0.24
17.3;-0.16
17.4;-0.24
17.5;-0.24
17.6;-0.16
17.7;-0.16
17.8;-0.24
17.9;-0.16
18;-0.24
18.1;-0.24
18.2;-0.32
18.3;-0.32
18.4;-0.32
18.5;-0.32
18.6;-0.32
18.7;-0.24
18.8;-0.24
18.9;-0.24
19;-0.24
19.1;-0.24
19.2;-0.24
19.3;-0.24
19.4;-0.32
19.5;-0.4
19.6;-0.4
19.7;-0.32
19.8;-0.4
19.9;-0.4
20;-0.4
20.1;-0.32
20.2;-0.4
20.3;-0.4
20.4;-0.4
20.5;-0.4
20.6;-0.48
20.7;-0.72
20.8;-0.8
20.9;-0.72
21;-0.4
21.1;-0.16
21.2;0
21.3;0.08
21.4;0.08
21.5;0
21.6;-0.08
21.7;-0.24
21.8;-0.16
21.9;-0.32
22;-0.24
22.1;-0.24
22.2;-0.16
22.3;-0.16
22.4;-0.16
22.5;-0.24
22.6;-0.24
22.7;-0.24
22.8;-0.32
22.9;-0.24
23;-0.24
23.1;-0.32
23.2;-0.32
23.3;-0.32
23.4;-0.24
23.5;-0.16
23.6;-0.24
23.7;-0.24
23.8;-0.24
23.9;-0.24
24;-0.24
24.1;-0.24
24.2;-0.24
24.3;-0.24
24.4;-0.24
24.5;-0.24
24.6;-0.24
24.7;-0.32
24.8;-0.32
24.9;-0.32
25;-0.32
25.1;-0.32
25.2;-0.24
25.3;-0.24
25.4;-0.24
25.5;-0.32
25.6;-0.24
25.7;-0.24
25.8;-0.16
25.9;-0.16
26;-0.16
26.1;-0.16
26.2;-0.24
26.3;-0.32
26.4;-0.32
26.5;-0.4
26.6;-0.4
26.7;-0.32
26.8;-0.32
26.9;-0.24
27;-0.16
27.1;-0.16
27.2;-0.24
27.3;-0.24
27.4;-0.24
27.5;-0.24
27.6;-0.24
27.7;-0.24
27.8;-0.24
27.9;-0.32
28;-0.32
28.1;-0.32
28.2;-0.32
28.3;-0.48
28.4;-0.64
28.5;-0.72
28.6;-0.4
28.7;0
28.8;0.16
28.9;0.16
29;0.08
29.1;-0.08
29.2;-0.16
29.3;-0.16
29.4;-0.16
29.5;-0.24
29.6;-0.24
29.7;-0.24
29.8;-0.16
29.9;-0.16
30;-0.08
30.1;-0.08
30.2;-0.16
30.3;-0.08
30.4;-0.16
30.5;-0.16
30.6;-0.24
30.7;-0.16
30.8;-0.08
30.9;-0.08
31;-0.16
31.1;-0.24
31.2;-0.16
31.3;-0.16
31.4;-0.16
31.5;-0.24
31.6;-0.24
31.7;-0.24
31.8;-0.24
31.9;-0.24
32;-0.16
32.1;-0.16
32.2;-0.08
32.3;-0.16
32.4;-0.16
32.5;-0.24
32.6;-0.24
32.7;-0.32
32.8;-0.32
32.9;-0.32
33;-0.4
33.1;-0.32
33.2;-0.24
33.3;-0.16
33.4;-0.24
33.5;-0.32
33.6;-0.4
33.7;-0.4
33.8;-0.32
33.9;-0.24
34;-0.08
34.1;-0.08
34.2;-0.08
34.3;-0.16
34.4;-0.16
34.5;-0.08
34.6;0
34.7;0
34.8;-0.08
34.9;-0.08
35;-0.08
35.1;0
35.2;-0.4
35.3;-1.04
35.4;-1.04
35.5;-0.72
35.6;-0.08
35.7;0.16
35.8;0.24
35.9;0.16
36;0.08
36.1;0
36.2;0
36.3;0
36.4;-0.08
36.5;-0.16
36.6;-0.16
36.7;-0.16
36.8;-0.08
36.9;-0.16
37;-0.16
37.1;-0.16
37.2;-0.08
37.3;-0.08
37.4;-0.08
37.5;0
37.6;-0.08
37.7;-0.08
37.8;-0.08
37.9;-0.08
38;-0.08
38.1;-0.08
38.2;0
38.3;0
38.4;0.08
38.5;0.08
38.6;0
38.7;0
38.8;0
38.9;0.08
39;0.08
39.1;0.08
39.2;0.08
39.3;0.08
39.4;0
39.5;0.16
39.6;0.08
39.7;0.24
39.8;0.16
39.9;0.24
40;0.32
40.1;0.24
40.2;0.24
40.3;0.24
40.4;0.4
40.5;0.4
40.6;0.4
40.7;0.4
40.8;0.48
40.9;0.56
41;0.64
41.1;0.72
41.2;0.8
41.3;0.88
41.4;0.96
41.5;1.04
41.6;1.12
41.7;1.28
41.8;1.44
41.9;1.68
42;1.92
42.1;2.24
42.2;2.48
42.3;2.8
42.4;3.2
42.5;3.52
42.6;3.92
42.7;4.24
42.8;4.72
42.9;5.2
43;5.6
43.1;6.08
43.2;6.64
43.3;7.2
43.4;7.84
43.5;8.32
43.6;8.88
43.7;9.36
43.8;9.36
43.9;9.28
44;9.36
44.1;9.28
44.2;9.28
44.3;9.36
44.4;9.36
44.5;9.28
44.6;9.36
44.7;9.36
44.8;9.36
44.9;9.28
45;9.36
45.1;9.36
45.2;9.28
45.3;9.36
45.4;9.36
45.5;9.28
45.6;9.36
45.7;9.36
45.8;9.28
45.9;9.36
46;9.36
46.1;9.28
46.2;9.36
46.3;9.36
46.4;9.36
46.5;9.36
46.6;9.36
46.7;9.28
46.8;9.28
46.9;9.28
47;9.36
47.1;9.36
47.2;9.36
47.3;9.36
47.4;9.28
47.5;9.36
47.6;9.28
47.7;9.28
47.8;9.28
47.9;9.36
48;9.28
48.1;9.36
48.2;9.28
48.3;9.36
48.4;9.36
48.5;9.28
48.6;9.36
48.7;9.28
48.8;9.28
48.9;9.36
49;9.28
49.1;9.28
