# Oscilloscope file ./20191024_882747.bin
# Channel 2
Time / s;Voltage / V
0;0.032
0.1;0.024
0.2;0.024
0.3;0.032
0.4;0.024
0.5;0.032
0.6;0.024
0.7;0.032
0.8;0.032
0.9;0.032
1;0.032
1.1;0.024
1.2;0.032
1.3;0.032
1.4;0.032
1.5;0.032
1.6;0.032
1.7;0.032
1.8;0.024
1.9;0.032
2;0.032
2.1;0.024
2.2;0.024
2.3;0.032
2.4;0.032
2.5;0.032
2.6;0.032
2.7;0.032
2.8;0.032
2.9;0.032
3;0.032
3.1;0.032
3.2;0.024
3.3;0.032
3.4;0.04
3.5;0.032
3.6;0.024
3.7;0.024
3.8;0.032
3.9;0.032
4;0.032
4.1;0.032
4.2;0.032
4.3;0.032
4.4;0.032
4.5;0.024
4.6;0.032
4.7;0.032
4.8;0.032
4.9;0.04
5;0.032
5.1;0.04
5.2;0.032
5.3;0.04
5.4;0.032
5.5;0.032
5.6;0.032
5.7;0.04
5.8;0.032
5.9;0.032
6;0.032
6.1;0.04
6.2;0.032
6.3;0.032
6.4;0.032
6.5;0.032
6.6;0.032
6.7;0.04
6.8;0.032
6.9;0.032
7;0.032
7.1;0.032
7.2;0.032
7.3;0.032
7.4;0.032
7.5;0.032
7.6;0.032
7.7;0.032
7.8;0.032
7.9;0.032
8;0.032
8.1;0.032
8.2;0.032
8.3;0.032
8.4;0.032
8.5;0.032
8.6;0.032
8.7;0.04
8.8;0.04
8.9;0.032
9;0.032
9.1;0.032
9.2;0.032
9.3;0.032
9.4;0.04
9.5;0.032
9.6;0.032
9.7;0.04
9.8;0.032
9.9;0.04
10;0.032
10.1;0.032
10.2;0.032
10.3;0.032
10.4;0.032
10.5;0.032
10.6;0.032
10.7;0.032
10.8;0.032
10.9;0.024
11;0.032
11.1;0.04
11.2;0.032
11.3;0.032
11.4;0.024
11.5;0.032
11.6;0.032
11.7;0.04
11.8;0.032
11.9;0.032
12;0.024
12.1;0.024
12.2;0.024
12.3;0.032
12.4;0.024
12.5;0.032
12.6;0.032
12.7;0.032
12.8;0.032
12.9;0.032
13;0.032
13.1;0.032
13.2;0.024
13.3;0.024
13.4;0.024
13.5;0.032
13.6;0.032
13.7;0.032
13.8;0.032
13.9;0.032
14;0.032
14.1;0.032
14.2;0.024
14.3;0.024
14.4;0.024
14.5;0.016
14.6;0.032
14.7;0.032
14.8;0.024
14.9;0.024
15;0.024
15.1;0.024
15.2;0.024
15.3;-0.216
15.4;-0.216
15.5;-0.216
15.6;-0.216
15.7;-0.216
15.8;-0.216
15.9;-0.216
16;-0.216
16.1;-0.216
16.2;0.024
16.3;0.04
16.4;0.04
16.5;0.032
16.6;0.032
16.7;0.032
16.8;0.032
16.9;0.024
17;0.032
17.1;0.032
17.2;0.032
17.3;0.032
17.4;0.032
17.5;0.032
17.6;0.032
17.7;0.032
17.8;0.032
17.9;0.032
18;0.032
18.1;0.032
18.2;0.024
18.3;0.032
18.4;0.024
18.5;0.024
18.6;0.032
18.7;0.032
18.8;0.024
18.9;0.032
19;0.032
19.1;0.032
19.2;0.032
19.3;0.032
19.4;0.032
19.5;0.04
19.6;0.024
19.7;0.032
19.8;0.032
19.9;0.032
20;0.032
20.1;0.024
20.2;0.032
20.3;0.032
20.4;0.032
20.5;0.032
20.6;0.032
20.7;0.032
20.8;0.032
20.9;0.032
21;0.032
21.1;0.032
21.2;0.04
21.3;0.04
21.4;0.032
21.5;0.032
21.6;0.032
21.7;0.032
21.8;0.032
21.9;0.032
22;0.032
22.1;0.032
22.2;0.032
22.3;0.032
22.4;0.032
22.5;0.032
22.6;0.032
22.7;0.032
22.8;0.032
22.9;0.032
23;0.032
23.1;0.032
23.2;0.032
23.3;0.032
23.4;0.032
23.5;0.024
23.6;0.024
23.7;0.024
23.8;0.032
23.9;0.032
24;0.032
24.1;0.032
24.2;0.032
24.3;0.032
24.4;0.032
24.5;0.032
24.6;0.032
24.7;0.032
24.8;0.024
24.9;0.024
25;0.024
25.1;0.024
25.2;0.024
25.3;0.024
25.4;0.032
25.5;0.04
25.6;0.032
25.7;0.032
25.8;0.024
25.9;0.024
26;0.024
26.1;0.032
26.2;0.024
26.3;0.024
26.4;0.024
26.5;0.032
26.6;0.032
26.7;0.032
26.8;0.04
26.9;0.032
27;0.032
27.1;0.032
27.2;0.024
27.3;0.024
27.4;0.032
27.5;0.024
27.6;0.032
27.7;0.016
27.8;0.024
27.9;0.032
28;0.032
28.1;0.016
28.2;0.024
28.3;0.024
28.4;0.024
28.5;0.024
28.6;0.024
28.7;0.024
28.8;0.032
28.9;0.032
29;0.04
29.1;0.032
29.2;0.024
29.3;0.024
29.4;0.032
29.5;0.032
29.6;0.032
29.7;0.024
29.8;0.032
29.9;0.032
30;0.024
30.1;0.024
30.2;0.032
30.3;0.032
30.4;0.024
30.5;0.032
30.6;0.024
30.7;0.032
30.8;0.032
30.9;0.024
31;0.032
31.1;0.024
31.2;0.032
31.3;0.032
31.4;0.032
31.5;0.024
31.6;0.032
31.7;0.032
31.8;0.032
31.9;0.032
32;0.032
32.1;0.032
32.2;0.032
32.3;0.032
32.4;0.024
32.5;0.032
32.6;0.032
32.7;0.04
32.8;0.04
32.9;0.04
33;0.048
33.1;0.048
33.2;0.056
33.3;0.048
33.4;0.056
33.5;0.064
33.6;0.072
33.7;0.08
33.8;0.088
33.9;0.104
34;0.12
34.1;0.128
34.2;0.144
34.3;0.16
34.4;0.168
34.5;0.176
34.6;0.192
34.7;0.208
34.8;0.216
34.9;0.224
35;0.24
35.1;0.256
35.2;0.272
35.3;0.288
35.4;0.304
35.5;0.336
35.6;0.36
35.7;0.392
35.8;0.424
35.9;0.464
36;0.504
36.1;0.552
36.2;0.592
36.3;0.64
36.4;0.68
36.5;0.72
